datetime,1A-Th-Chilled Water
2021-08-21 02:45:00,0.0107748450261651
2021-08-21 03:00:00,0.0098098810127108
2021-08-21 03:15:00,0.0086107616885243
2021-08-21 03:30:00,0.0069817064997991
2021-08-21 03:45:00,0.0066279937693827
2021-08-21 04:00:00,0.0066763040653282
2021-08-21 04:15:00,0.009137681419251
2021-08-21 04:30:00,0.0119947350882635
2021-08-21 04:45:00,0.0146222698814301
2021-08-21 05:00:00,-0.2318779872975811
2021-08-21 05:15:00,-551.9262234052532
2021-08-21 05:30:00,-1587.1715968747362
2021-08-21 05:45:00,-1144.0829169332292
2021-08-21 06:00:00,-1264.4044047471853
2021-08-21 06:15:00,-952.9120566752334
2021-08-21 06:30:00,-1382.1065551362924
2021-08-21 06:45:00,-1099.5754704539138
2021-08-21 07:00:00,-1294.7191790609056
2021-08-21 07:15:00,-1789.6550811025245
2021-08-21 07:30:00,-1787.1755947116676
2021-08-21 07:45:00,-1718.7572543092303
2021-08-21 08:00:00,-1958.6270410666991
2021-08-21 08:15:00,-1830.6073702398407
2021-08-21 08:30:00,-2136.7011665591685
2021-08-21 08:45:00,-1860.9799646759293
2021-08-21 09:00:00,-1567.1278471926512
2021-08-21 09:15:00,-1020.0691346623564
2021-08-21 09:30:00,-1420.6778246480108
2021-08-21 09:45:00,-1403.8067526766906
2021-08-21 10:00:00,-1342.6359485630312
2021-08-21 10:15:00,-1131.0409464508723
